loan_id,user_id,amount,created_at,status
96,3026,94708,2024-09-19,approved
97,6758,76784,2023-11-20,closed
98,5373,37745,2025-05-18,approved
99,1928,39451,2024-12-04,approved
100,8856,28387,2024-06-30,approved
101,731,137910,2024-12-09,closed
102,6945,47069,2024-04-19,approved
103,1930,73442,2024-03-18,approved
104,3580,30561,2023-11-05,closed
105,1387,99534,2024-10-25,closed
106,4185,105607,2024-04-29,approved
107,498,122060,2024-10-03,defaulted
108,5003,111275,2023-08-16,closed
109,1344,49656,2024-10-25,closed
110,5309,188265,2024-04-27,approved
111,1451,176421,2023-06-28,approved
112,599,39602,2025-04-19,closed
113,7281,93480,2025-03-04,closed
114,1023,191254,2023-12-25,closed
115,3728,104385,2024-01-16,approved
116,8671,78386,2025-05-16,closed
117,7601,126951,2025-04-30,approved
118,2942,114893,2024-11-28,closed
119,4206,24248,2024-10-02,closed
120,6277,138408,2024-06-16,closed
121,4956,130476,2023-11-16,closed
122,1504,129418,2024-01-19,defaulted
123,8869,126093,2024-02-11,approved
124,2550,193602,2024-11-09,closed
125,5915,24247,2025-05-19,closed
126,6327,88235,2024-05-01,closed
127,539,40968,2024-05-15,approved
128,4512,100412,2025-01-28,approved
129,9912,198810,2024-11-06,closed
130,5616,188431,2023-10-27,approved
131,4317,136084,2024-11-10,approved
132,8403,90462,2023-09-29,approved
133,7956,170739,2023-08-20,approved
134,8041,187094,2023-10-03,closed
135,3440,124376,2025-02-09,closed
136,8221,57108,2024-05-03,closed
137,5947,176445,2024-11-04,closed
138,4105,138051,2025-05-13,defaulted
139,4347,36206,2024-04-30,approved
140,5839,102847,2024-01-27,approved
141,6878,157769,2024-05-28,approved
142,7061,151073,2023-07-15,approved
143,4133,49049,2025-04-01,closed
144,9647,127174,2024-02-16,closed
145,8031,175276,2023-08-07,approved
146,121,30594,2024-08-10,closed
147,1838,39377,2025-05-05,closed
148,8341,64518,2024-06-08,approved
149,93,172406,2024-06-26,defaulted
150,9237,153056,2024-07-23,defaulted
151,2471,82058,2023-10-02,approved
152,927,184229,2023-07-14,closed
153,6646,116447,2023-10-10,approved
154,5355,80881,2024-03-08,closed
155,2234,28821,2025-05-03,defaulted
156,8271,194917,2023-08-02,closed
157,3471,28415,2025-03-06,defaulted
158,8225,149498,2024-10-21,approved
159,7010,30621,2024-01-14,approved
160,606,130729,2023-07-14,approved
161,2884,41693,2025-04-14,approved
162,7472,41428,2023-08-03,approved
163,7836,192540,2024-10-04,closed
164,4984,65100,2024-04-06,approved
165,5202,62469,2024-11-22,approved
166,8083,88066,2025-03-28,closed
167,2809,161259,2024-10-30,approved
168,9998,38342,2025-04-27,approved
169,2245,88634,2023-08-30,closed
170,2016,159526,2024-09-13,defaulted
171,9235,79319,2024-06-27,closed
172,3988,37475,2025-02-03,approved
173,9723,173643,2025-05-18,closed
174,8455,70739,2023-12-21,approved
175,4888,171953,2024-01-05,closed
176,4011,67785,2024-04-25,closed
177,5888,139162,2025-01-02,closed
178,2258,164581,2023-10-07,defaulted
179,5362,173045,2023-07-17,closed
180,251,123607,2023-08-26,defaulted
181,9485,28512,2023-06-26,defaulted
182,8701,143537,2024-07-11,closed
183,9146,184396,2025-02-21,defaulted
184,1435,92925,2024-08-16,closed
185,6859,60604,2024-09-27,closed
186,8279,102724,2024-03-16,approved
187,8368,151654,2023-11-10,closed
188,1757,51314,2023-08-12,defaulted
189,3594,150362,2024-07-05,closed
190,4174,161688,2024-08-29,approved
191,1172,123280,2024-10-31,defaulted
192,4875,174075,2024-08-01,approved
193,2403,143445,2023-09-22,approved
194,5766,25366,2023-07-07,closed
195,7058,41326,2024-04-27,closed
196,2119,33927,2024-07-03,defaulted
197,6583,170475,2024-10-20,defaulted
198,7339,173745,2024-04-09,closed
199,4756,135774,2025-05-21,approved
200,2800,37728,2023-08-24,closed
201,4205,158427,2025-01-11,closed
202,2354,171967,2024-05-30,closed
203,771,67409,2025-03-13,approved
204,2314,154685,2024-07-21,approved
205,3134,138065,2024-03-03,defaulted
206,1469,106793,2024-12-15,closed
207,2796,198736,2024-05-14,closed
208,7344,147217,2025-04-15,closed
209,3287,177784,2025-04-07,closed
210,9239,101076,2025-01-13,defaulted
211,1054,154943,2024-06-21,approved
212,9622,38416,2024-03-03,approved
213,9565,143040,2025-02-26,approved
214,4361,155265,2024-08-16,closed
215,616,194230,2024-10-27,closed
216,7303,80667,2024-06-10,defaulted
217,9875,145480,2024-05-18,closed
218,9460,85133,2025-04-20,approved
219,5596,98151,2023-11-27,approved
220,6137,174931,2024-11-12,closed
221,2084,32189,2025-03-02,approved
222,7813,51445,2024-01-20,approved
223,1003,66385,2023-10-20,defaulted
224,7642,130420,2024-09-11,approved
225,8775,136249,2023-08-03,approved
226,743,138568,2023-12-11,approved
227,4650,187602,2024-03-12,closed
228,3743,130188,2024-05-29,defaulted
229,4576,186488,2025-01-08,defaulted
230,7323,85346,2024-07-22,closed
231,8256,31808,2025-02-14,closed
232,5831,73177,2023-10-15,closed
233,6922,35734,2024-01-19,defaulted
234,4775,102552,2024-12-24,closed
235,2075,135058,2023-08-04,approved
236,875,28915,2024-08-22,defaulted
237,6092,38496,2024-05-19,closed
238,4420,120689,2024-01-24,approved
239,2420,97479,2024-11-04,approved
240,7516,34736,2024-09-02,defaulted
241,3899,135634,2025-03-03,closed
242,720,158663,2024-06-08,closed
243,4382,42780,2024-12-18,approved
244,2339,85309,2025-04-26,closed
245,8696,123346,2024-10-22,defaulted
246,537,57389,2024-02-29,defaulted
247,8899,163133,2025-05-09,closed
248,7455,139759,2024-09-12,closed
249,1173,109324,2023-11-16,approved
250,5140,120419,2024-08-15,approved
251,5944,127089,2023-09-11,closed
252,6036,34228,2023-12-19,closed
253,5840,122116,2023-07-03,closed
254,8977,159415,2024-11-13,approved
255,5189,81043,2024-07-03,closed
256,3164,199984,2025-05-19,closed
257,5298,95610,2024-09-30,closed
258,2635,21606,2024-10-06,closed
259,5350,39336,2024-02-01,approved
260,7630,114637,2024-11-27,approved
261,5111,55918,2024-09-16,closed
262,3690,21025,2024-11-24,approved
263,415,111184,2024-08-25,approved
264,1654,84970,2024-11-09,approved
265,4393,84613,2024-06-09,approved
266,1903,179653,2023-09-10,defaulted
267,5238,110604,2024-09-09,defaulted
268,4662,141561,2024-03-21,closed
269,4572,110150,2025-03-22,approved
270,5097,92569,2024-05-11,approved
271,1702,150124,2024-10-31,approved
272,7354,82085,2025-04-16,closed
273,8797,192172,2024-07-09,defaulted
274,6330,123588,2024-02-01,closed
275,8142,196332,2024-06-23,closed
276,8832,158724,2024-05-20,approved
277,2848,107743,2024-01-20,defaulted
278,1752,107363,2024-09-17,approved
279,1527,97233,2024-07-23,closed
280,8437,143374,2024-03-12,defaulted
281,9835,130795,2024-10-28,closed
282,8607,156522,2023-08-06,closed
283,2674,163647,2024-02-13,approved
284,5969,127223,2024-07-17,approved
285,8919,29241,2023-11-02,approved
286,9736,105227,2023-07-28,closed
287,2685,157724,2024-07-07,approved
288,6638,140956,2023-10-13,closed
289,9370,54407,2024-05-09,closed
290,7189,25315,2024-08-10,approved
291,2539,153198,2024-10-01,closed
292,9336,104561,2024-03-16,closed
293,6068,152263,2024-09-04,approved
294,2020,190824,2024-02-07,closed
295,5999,82588,2025-05-02,defaulted
296,4926,149428,2024-03-17,approved
297,2358,84712,2024-12-06,approved
298,5222,114632,2023-12-02,closed
299,9961,161706,2024-09-18,approved
300,5804,123493,2023-12-15,approved
301,9040,96775,2023-07-23,approved
302,4265,90054,2024-12-16,closed
303,1647,74958,2023-09-06,approved
304,1528,47111,2024-08-20,approved
305,9406,42612,2024-10-19,approved
306,3699,103994,2024-04-08,approved
307,1909,177852,2023-07-29,defaulted
308,1510,41773,2023-10-31,closed
309,721,51813,2024-10-25,closed
310,8392,34763,2025-05-22,closed
311,4717,160294,2024-06-07,closed
312,8782,199801,2024-04-20,approved
313,2556,101039,2025-03-27,approved
314,3867,114743,2025-03-28,defaulted
315,6452,114811,2025-02-09,closed
316,9387,76810,2024-03-02,closed
317,6572,68969,2024-06-19,closed
318,7262,36685,2024-10-30,approved
319,1043,136288,2024-03-01,defaulted
320,7440,76759,2023-12-07,approved
321,2645,180544,2023-11-16,defaulted
322,4815,199297,2024-07-10,closed
323,132,97877,2023-11-27,approved
324,4833,43682,2024-11-20,defaulted
325,2668,121705,2025-04-27,approved
326,6941,193254,2024-04-03,approved
327,9812,190039,2024-12-08,approved
328,2865,165199,2023-12-04,approved
329,220,27302,2024-05-08,approved
330,521,97106,2024-08-12,approved
331,7902,83905,2025-05-14,approved
332,3035,156152,2024-05-01,closed
333,2326,73562,2024-05-20,approved
334,1318,173090,2025-03-07,approved
335,5118,74975,2025-05-01,defaulted
336,5932,184121,2024-01-20,defaulted
337,5450,94990,2023-08-30,approved
338,6339,54049,2025-02-14,approved
339,5623,89772,2023-10-07,approved
340,4073,101554,2023-08-24,approved
341,7575,97437,2023-08-04,approved
342,7829,98764,2023-11-19,closed
343,9072,131571,2023-10-21,closed
344,8901,36026,2023-11-22,approved
345,1197,150469,2023-12-16,approved
346,7270,119495,2024-08-22,approved
347,5719,23435,2024-06-20,closed
348,1908,84136,2024-07-31,defaulted
349,3711,118312,2024-09-01,approved
350,4826,165077,2024-02-14,closed
351,4835,135546,2023-08-05,approved
352,809,57635,2024-12-03,approved
353,1360,99284,2023-08-14,closed
354,9644,73412,2025-05-17,approved
355,1488,87226,2024-12-01,closed
356,5869,118543,2024-06-24,closed
357,5589,108446,2025-05-01,closed
358,9265,81627,2024-12-30,closed
359,3437,94507,2023-09-17,approved
360,1801,165478,2024-01-07,closed
361,9391,105537,2024-02-08,approved
362,3333,113866,2024-08-23,closed
363,8927,60750,2024-02-07,approved
364,5175,191194,2024-05-07,closed
365,8289,90447,2025-03-19,approved
366,872,194995,2024-05-20,approved
367,7591,172124,2023-11-25,approved
368,3375,169548,2024-02-14,closed
369,3796,190786,2024-07-31,defaulted
370,1028,60446,2024-11-13,approved
371,5082,28394,2024-07-27,closed
372,3556,76325,2023-12-29,closed
373,7098,27035,2023-07-17,approved
374,8222,136467,2025-04-30,approved
375,2363,152389,2023-07-27,approved
376,1530,44867,2025-05-07,approved
377,133,103953,2023-12-10,approved
378,5639,131378,2025-05-21,closed
379,5899,80505,2023-09-20,defaulted
380,1779,54536,2023-12-14,defaulted
381,9777,80099,2023-12-07,closed
382,7034,69532,2024-04-13,closed
383,3787,105795,2023-10-29,closed
384,6626,87690,2024-11-28,closed
385,8786,179397,2024-07-29,closed
386,8816,183567,2024-06-17,approved
387,3341,37020,2024-05-02,closed
388,8292,78471,2024-01-08,approved
389,1332,23591,2023-11-07,approved
390,8961,78828,2025-05-06,approved
391,7320,174322,2023-07-12,approved
392,1474,176517,2024-05-05,closed
393,6262,130461,2023-09-13,closed
394,7222,45576,2024-08-28,approved
395,806,174213,2024-03-30,defaulted
396,4948,140184,2023-09-10,defaulted
397,4417,139084,2024-02-05,closed
398,6289,107295,2025-02-17,closed
399,9290,90774,2025-04-16,approved
400,7266,126831,2024-10-02,defaulted
401,7534,109041,2025-04-07,closed
402,1666,71570,2024-01-07,closed
403,8018,62293,2025-01-15,closed
404,6354,138903,2024-03-15,closed
405,5361,54690,2023-12-10,defaulted
406,7698,193154,2023-07-29,defaulted
407,5273,76569,2025-03-12,approved
408,7213,64838,2024-11-24,closed
409,1944,107692,2025-05-07,approved
410,259,142137,2023-07-30,approved
411,6623,172862,2025-02-18,closed
412,7996,172544,2024-09-23,approved
413,3358,90482,2024-02-14,approved
414,1288,133753,2024-12-01,closed
415,211,45061,2023-12-01,closed
416,5156,167742,2024-12-28,closed
417,5214,45381,2024-08-03,closed
418,8456,54161,2024-04-12,approved
419,3162,55253,2024-06-05,approved
420,7236,149817,2024-06-28,approved
421,9305,196965,2023-08-05,approved
422,67,146444,2024-05-17,defaulted
423,7777,107593,2024-12-20,defaulted
424,6039,50218,2024-12-20,approved
425,8175,55417,2024-08-17,closed
426,4699,111561,2024-10-26,closed
427,6720,191112,2025-02-26,approved
428,6636,68103,2024-02-09,closed
429,2169,102474,2023-09-10,closed
430,9843,66507,2025-02-19,approved
431,250,66178,2024-12-24,approved
432,5664,197541,2024-11-20,defaulted
433,1404,176556,2025-03-26,closed
434,6070,35173,2024-02-21,approved
435,9533,152927,2024-06-08,approved
436,3128,36852,2025-05-22,approved
437,9035,150688,2024-04-04,approved
438,1160,39271,2023-12-21,closed
439,315,128417,2023-08-28,closed
440,9304,41985,2023-06-25,approved
441,1597,143148,2023-08-03,approved
442,7100,149834,2024-09-17,approved
443,5770,129560,2023-10-13,closed
444,36,70871,2023-06-23,defaulted
445,5465,132989,2023-07-07,closed
446,1285,76964,2023-12-31,defaulted
447,863,50734,2024-03-11,approved
448,5558,21224,2023-09-21,approved
449,7805,124421,2024-02-16,approved
450,8633,82346,2024-11-24,approved
451,1681,32320,2025-04-16,approved
452,779,72355,2023-12-27,defaulted
453,9403,185937,2024-06-20,defaulted
454,3621,139303,2024-03-21,closed
455,4459,50750,2024-08-07,closed
456,7961,113249,2023-11-16,defaulted
457,6703,75479,2024-05-02,defaulted
458,4758,30564,2023-10-27,approved
459,2233,112814,2024-10-28,approved
460,8885,170938,2024-05-03,defaulted
461,1856,84328,2024-05-27,approved
462,7741,35213,2024-04-28,approved
463,1820,184660,2023-10-30,closed
464,6176,114492,2024-02-28,closed
465,8676,94891,2024-03-21,closed
466,5897,61594,2023-12-01,defaulted
467,4983,124903,2024-11-26,closed
468,4839,96522,2023-07-05,closed
469,6391,28425,2025-02-23,approved
470,6422,179621,2023-12-18,approved
471,7393,28760,2024-02-17,closed
472,3072,65930,2023-10-26,approved
473,9308,106881,2025-04-17,defaulted
474,7818,23228,2025-05-02,closed
475,8226,55509,2024-12-18,defaulted
476,8788,175267,2023-10-03,closed
477,7797,145053,2024-04-09,defaulted
478,6707,21433,2023-11-30,defaulted
479,4413,172068,2025-02-24,closed
480,5894,158247,2024-06-29,defaulted
481,2279,59603,2025-03-27,closed
482,3943,93973,2025-03-22,defaulted
483,7463,179208,2024-09-24,closed
484,3614,61411,2025-02-27,defaulted
485,8201,113252,2024-02-08,closed
486,1433,72130,2023-06-28,approved
487,7055,159092,2024-01-22,defaulted
488,2301,55730,2023-09-03,defaulted
489,6013,173386,2024-05-02,closed
490,3064,23843,2024-07-23,closed
491,7540,36169,2023-10-01,defaulted
492,4927,47875,2024-10-30,approved
493,6818,77806,2024-01-18,closed
494,4949,50525,2024-11-20,defaulted
495,2101,116987,2024-10-14,approved
496,1048,110813,2024-12-26,closed
497,5683,168998,2024-01-31,closed
498,1849,36917,2023-07-06,closed
499,9844,28717,2024-10-24,closed
500,5828,130605,2023-11-19,defaulted
501,3646,36242,2024-11-14,approved
502,9988,142337,2023-09-19,approved
503,7889,164856,2024-05-16,defaulted
504,7172,96892,2023-06-24,approved
505,8510,195392,2024-10-16,approved
506,5444,184315,2024-03-20,closed
507,4014,110395,2024-06-21,defaulted
508,2706,125478,2025-03-04,approved
509,6159,81289,2024-09-19,approved
510,329,174851,2025-03-27,closed
511,2913,165029,2024-04-03,defaulted
512,6180,139266,2025-03-16,defaulted
513,8906,163243,2025-04-28,defaulted
514,3624,103488,2023-12-28,approved
515,4504,166215,2024-09-25,approved
516,5376,115330,2023-09-02,closed
517,6632,71878,2025-02-24,closed
518,8236,158252,2024-03-30,approved
519,6669,135611,2025-01-27,closed
520,6284,105855,2024-01-24,closed
521,1939,198679,2024-11-22,closed
522,4809,130787,2025-03-22,approved
523,9953,61161,2024-12-18,closed
524,699,139574,2024-07-22,approved
525,9340,77661,2024-03-27,closed
526,6208,185751,2024-03-20,approved
527,1340,152806,2024-03-13,approved
528,386,188334,2024-12-14,approved
529,9942,36259,2024-03-30,closed
530,5730,154763,2024-09-26,defaulted
531,5403,59459,2025-03-26,approved
532,5784,86221,2023-12-28,closed
533,5837,136963,2024-05-01,defaulted
534,4308,94659,2023-08-26,closed
535,7066,179925,2023-10-03,approved
536,3001,145600,2023-10-29,approved
537,2587,191040,2023-09-29,approved
538,2034,44903,2024-05-24,closed
539,3901,184512,2025-02-28,closed
540,3879,182351,2025-05-20,closed
541,7995,198964,2023-07-21,closed
542,1072,189510,2025-01-10,closed
543,3878,80539,2024-04-24,closed
544,1385,117276,2023-08-30,approved
545,7712,105353,2024-06-15,closed
546,8056,129481,2023-11-06,closed
547,2952,110516,2023-09-20,defaulted
548,288,133012,2023-08-31,defaulted
549,2964,196069,2024-09-01,closed
550,777,121551,2025-01-12,closed
551,5513,30138,2023-12-18,approved
552,2175,28797,2025-03-27,closed
553,3360,84214,2023-12-10,approved
554,4704,89583,2024-01-24,approved
555,3439,194891,2025-02-12,approved
556,2978,79901,2025-04-26,closed
557,9567,99180,2023-12-21,defaulted
558,6908,98645,2023-07-28,defaulted
559,6826,155175,2023-10-12,approved
560,4198,116139,2023-12-13,defaulted
561,2642,165319,2024-01-19,closed
562,219,191960,2023-12-09,approved
563,1019,52559,2025-05-20,closed
564,2274,168085,2024-07-27,defaulted
565,5116,165190,2024-05-16,approved
566,8684,58047,2024-08-21,closed
567,2152,74066,2023-12-20,closed
568,3525,59133,2024-05-28,closed
569,9853,117224,2024-06-13,approved
570,305,32814,2025-02-09,approved
571,1933,83358,2024-01-14,approved
572,8989,124702,2024-05-26,defaulted
573,9144,110941,2024-07-26,closed
574,1120,34737,2023-10-16,approved
575,1486,54516,2024-02-03,approved
576,8806,63009,2024-12-09,closed
577,2374,101708,2024-11-24,closed
578,5600,142662,2024-01-02,defaulted
579,2628,121739,2025-03-25,approved
580,1582,174122,2023-11-04,defaulted
581,3481,80643,2024-09-24,closed
582,1209,178941,2023-11-30,closed
583,5209,124959,2023-09-05,approved
584,8733,145977,2024-10-21,approved
585,4479,133523,2024-01-25,approved
586,1843,28252,2024-05-12,defaulted
587,6535,57014,2025-03-06,approved
588,8144,136215,2025-04-20,approved
589,579,174343,2023-11-23,closed
590,4972,94629,2023-11-25,closed
591,7955,117130,2024-10-30,approved
592,4725,74775,2023-08-13,approved
593,2691,136479,2023-08-03,approved
594,6576,192044,2025-01-30,approved
595,4919,188039,2023-09-13,closed
596,8407,29407,2024-09-03,approved
597,1983,46418,2023-07-17,defaulted
598,4457,115018,2025-03-28,approved
599,6951,27742,2024-09-04,approved
600,9322,153819,2024-02-18,closed
601,2271,170077,2023-07-14,closed
602,1615,180875,2024-04-30,closed
603,867,104359,2023-11-29,approved
604,2410,197115,2024-07-14,approved
605,1992,180008,2023-09-01,approved
606,7151,116956,2024-12-22,approved
607,3697,173162,2024-05-28,closed
608,7572,181058,2025-02-12,defaulted
609,9427,189950,2025-03-09,closed
610,6840,142600,2024-12-20,approved
611,6717,125726,2024-08-19,defaulted
612,131,72600,2025-05-20,defaulted
613,3018,51487,2023-08-31,approved
614,2624,67356,2024-07-16,approved
615,2191,65063,2025-04-14,defaulted
616,560,125634,2024-12-26,closed
617,9315,61593,2024-03-12,approved
618,6855,116930,2024-04-18,closed
619,7617,90462,2023-11-24,closed
620,1541,61540,2024-03-13,defaulted
621,8391,56557,2024-05-19,defaulted
622,7941,60976,2023-07-19,approved
623,8838,117114,2024-05-21,closed
624,8107,151582,2024-07-01,approved
625,6842,42722,2025-03-01,approved
626,6800,125463,2023-11-14,closed
627,1423,120375,2025-03-16,defaulted
628,4500,183133,2023-09-17,closed
629,9597,181161,2024-10-28,defaulted
630,3968,172214,2024-03-03,approved
631,4738,111504,2023-10-01,defaulted
632,8327,76545,2024-04-21,approved
633,5455,67715,2023-10-24,approved
634,7273,106139,2023-09-07,approved
635,2209,154768,2024-11-16,approved
636,2071,95192,2025-05-10,closed
637,2703,83256,2024-08-25,approved
638,8688,156576,2024-11-05,defaulted
639,4298,40190,2024-01-18,closed
640,3186,54658,2023-12-10,approved
641,5078,109190,2025-02-28,approved
642,8637,42385,2023-06-26,approved
643,5292,45756,2024-07-26,approved
644,1304,169243,2024-02-18,approved
645,30,67707,2024-03-20,closed
646,1214,73926,2023-07-16,approved
647,4762,122183,2024-07-11,approved
648,1581,133485,2024-07-06,approved
649,3431,22453,2023-09-04,defaulted
650,4345,134636,2023-08-13,approved
651,8585,116445,2024-05-26,defaulted
652,7613,93106,2023-08-13,closed
653,1517,175011,2024-05-16,closed
654,3275,51875,2024-12-28,defaulted
655,7486,34254,2023-10-17,closed
656,9464,69720,2023-11-27,closed
657,3180,28440,2024-02-19,approved
658,3461,130722,2023-12-29,closed
659,9494,196622,2023-09-15,approved
660,34,168896,2024-04-16,approved
661,6308,49392,2024-04-03,approved
662,4188,142971,2023-10-20,approved
663,3226,29969,2025-05-19,approved
664,1041,41696,2024-10-01,defaulted
665,3052,133412,2025-05-20,approved
666,5610,159297,2023-11-01,approved
667,5887,143976,2024-02-27,defaulted
668,5279,44208,2023-10-05,approved
669,54,111167,2024-07-01,closed
670,3239,118239,2024-02-29,approved
671,2303,124367,2025-03-24,approved
672,3955,20383,2023-08-12,approved
673,1198,132502,2024-04-23,closed
674,9574,190599,2024-11-02,approved
675,4993,191684,2024-11-23,closed
676,4286,25851,2025-02-26,defaulted
677,6733,112231,2024-09-05,closed
678,5771,50549,2024-05-28,closed
679,4210,78342,2024-09-02,approved
680,1561,40939,2024-08-01,closed
681,7193,28640,2025-03-11,approved
682,3698,135973,2024-07-16,closed
683,9721,182191,2024-06-10,approved
684,8046,76033,2023-10-19,approved
685,6074,132440,2025-04-24,closed
686,1358,75674,2025-03-18,closed
687,5649,175783,2024-08-16,defaulted
688,6687,84718,2025-05-13,approved
689,9837,106663,2025-03-19,closed
690,2593,131899,2024-09-10,closed
691,2162,162787,2025-03-28,approved
692,5636,191582,2024-02-24,approved
693,9802,190369,2024-08-30,closed
694,4608,84117,2023-10-14,approved
695,215,132359,2024-11-04,defaulted
696,5011,143670,2023-09-13,approved
697,7146,145573,2024-09-13,approved
698,4562,170861,2023-12-06,defaulted
699,7049,61511,2024-08-17,closed
700,6425,129456,2025-03-03,defaulted
701,505,128713,2024-06-27,approved
702,5892,89854,2024-02-02,closed
703,646,117145,2023-06-30,approved
704,3357,135429,2024-01-22,closed
705,1626,154800,2024-12-15,closed
706,3694,141596,2025-05-18,approved
707,5196,58791,2024-02-10,approved
708,4192,165832,2024-12-13,approved
709,1446,89244,2024-06-03,approved
710,3030,122467,2025-01-27,approved
711,2224,136727,2024-10-08,approved
712,9172,110206,2024-02-19,closed
713,5021,117028,2024-10-22,closed
714,406,137498,2024-05-31,defaulted
715,8675,136413,2024-07-16,closed
716,1223,103986,2024-12-18,closed
717,6578,56146,2024-09-18,approved
718,1547,178403,2024-03-14,closed
719,3812,193640,2024-09-26,closed
720,1845,103889,2024-03-16,closed
721,2266,81567,2024-11-27,defaulted
722,2732,130344,2025-04-27,closed
723,8025,74870,2025-01-09,defaulted
724,5519,150321,2024-02-05,approved
725,632,176696,2024-01-27,approved
726,6595,142349,2023-07-06,closed
727,8723,144072,2023-08-28,closed
728,4462,121785,2024-06-30,approved
729,912,179868,2024-10-28,defaulted
730,2822,27467,2025-04-15,closed
731,5551,110201,2024-08-26,approved
732,3978,139249,2024-04-15,closed
733,493,168596,2024-05-04,defaulted
734,1364,94287,2024-08-16,defaulted
735,9905,98831,2025-04-22,approved
736,224,159461,2024-11-12,defaulted
737,9501,169314,2024-05-10,approved
738,45,62975,2025-03-16,approved
739,1660,122008,2024-01-10,approved
740,5250,87559,2025-03-03,approved
741,3642,98666,2025-02-07,closed
742,6689,193280,2024-06-25,closed
743,2416,170683,2025-04-10,approved
744,174,182976,2024-07-09,closed
745,5133,35384,2025-05-12,closed
746,2292,121403,2024-08-12,closed
747,8043,50292,2024-05-24,defaulted
748,8376,144867,2023-12-05,approved
749,9634,187002,2024-01-08,approved
750,500,32937,2024-02-21,approved
751,2640,69441,2024-12-18,closed
752,9436,36141,2024-12-13,approved
753,7648,30566,2025-05-03,closed
754,848,181789,2023-12-13,closed
755,3922,134122,2024-05-07,defaulted
756,3402,54987,2024-08-27,approved
757,9926,130427,2024-09-27,defaulted
758,3347,70449,2023-12-21,closed
759,7556,58352,2023-07-10,defaulted
760,958,151788,2023-11-29,approved
761,9335,125745,2024-05-08,approved
762,1967,188510,2024-10-24,approved
763,690,171004,2024-01-03,closed
764,5049,126247,2023-12-24,approved
